mtry,ntree,Accuracy,Kappa,AccuracySD,KappaSD
50,500,0.937992235609103,0.869717520187519,0.00939939194132453,0.0198624494595139
49,500,0.937255812293932,0.868133749398556,0.00951614954970622,0.0201075232059624
48,500,0.93739489527918,0.868480872055683,0.0084823762035915,0.0178056715100347
47,500,0.939792465251789,0.873479393900571,0.0112690004831106,0.0238178728054057
46,500,0.937323525766392,0.868238533997798,0.00908730021971887,0.0192878267317989
45,500,0.937455826780737,0.868435366633807,0.0117917441496045,0.0250329044301191
44,500,0.936586105544422,0.866757013525892,0.0161457948817304,0.0339450498890529
43,500,0.937728626731374,0.869084276044129,0.0117803098371123,0.025000336738883
42,500,0.936855920676695,0.867245920791005,0.011445600334045,0.02410749220995
41,500,0.937922191370693,0.869467443646286,0.011302392739846,0.0235810411205887
40,500,0.938124515698063,0.869878171204233,0.00854282929055601,0.0179089260307486
39,500,0.939463400696976,0.872692289884828,0.00805209828890351,0.0171308031844841
38,500,0.938459656126175,0.870493280628122,0.0102900501936541,0.0218091008731237
37,500,0.938521673601554,0.870732779652228,0.0109289667642273,0.0230618805568533
36,500,0.938724881087476,0.871093290715517,0.0106583380761104,0.0226181519156977
35,500,0.938193693410918,0.869991051307428,0.0112851396231854,0.0237084558313274
34,500,0.939124229717802,0.871964800081333,0.013075876901978,0.0273592450746703
33,500,0.937729297416788,0.868912636909588,0.00969842681102632,0.0205145438586334
32,500,0.938593420844366,0.870746337864184,0.00807940885453817,0.0171442754928537
31,500,0.938256207193503,0.870041560268132,0.0103274689035946,0.0219539222845823
30,500,0.93845764514303,0.870395225381622,0.00914017426685474,0.019247700882353
29,500,0.938393675704823,0.870340035074186,0.010754924996658,0.0226517731069762
28,500,0.938057296386615,0.869592548747528,0.0103160249428673,0.0217302632248936
27,500,0.938527174295043,0.870524222462616,0.00968924833780134,0.0205465114440824
26,500,0.937393587174349,0.868056144457087,0.0117830146746463,0.0251350120374268
25,500,0.937994759532452,0.869286573729119,0.00992514248999978,0.0212148247593635
24,500,0.938723397531341,0.870843359672931,0.0097664678380306,0.0207366082646863
23,500,0.936920185753032,0.867005019055576,0.0104440297065031,0.0222155801417037
22,500,0.93745926873828,0.868095227283155,0.00867784746174131,0.0181944278106284
21,500,0.93752767650428,0.86829016714802,0.0115670061190513,0.0243886302716075
20,500,0.937457156884049,0.86805217557332,0.0117408601167964,0.024909902119123
19,500,0.93718874214292,0.867422684774739,0.0123491140681069,0.0261680089541973
18,500,0.937125021126591,0.867229054826465,0.0098982873083796,0.0211144851162308
17,500,0.93746113968231,0.868028113387091,0.0106124201061955,0.0224998301265519
16,500,0.935125801804412,0.862897174023288,0.0124666128511763,0.0266302859030204
15,500,0.935787023578616,0.864366003889841,0.00968535143948141,0.0207506284430349
14,500,0.936383733464251,0.865517200147289,0.0106005530106094,0.0226224787663523
13,500,0.935653127406084,0.863829738936532,0.0141647637051738,0.0300823657952462
12,500,0.935521673601554,0.863525576161578,0.0118056542895995,0.0253354419068037
11,500,0.933983371830676,0.860195167080669,0.0109159258805321,0.0232058547538763
10,500,0.932521294261884,0.856954030531642,0.0101456404020954,0.0217694487448187
9,500,0.93425619860873,0.860621595666357,0.00692235590299476,0.0147350266669171
8,500,0.931049623745483,0.853612794805388,0.00942060360138897,0.0202367997534469
7,500,0.932253654296545,0.856109780677245,0.0078922177008487,0.0171956627372678
6,500,0.929381930125311,0.849622042697284,0.00984756966792871,0.0213041890714931
5,500,0.926181506788678,0.842347229317085,0.0126358655221739,0.027477489169602
4,500,0.920835871475213,0.830299579560219,0.0104514882479307,0.0229650202189474
3,500,0.909023177278251,0.803494765361694,0.0125428874790943,0.0279449727572839
2,500,0.882859761289648,0.742814047056214,0.0157295786746417,0.03614495556776
1,500,0.785945434644389,0.5049740915592,0.011085456933758,0.0284405113769546
50,1000,0.9373918026146,0.868483598631624,0.0090364918285418,0.0186643351732075
49,1000,0.937195158187862,0.867983271832249,0.0101616856210645,0.0214170427015356
48,1000,0.937593421917463,0.868721285665876,0.0111127485863595,0.023517472305265
47,1000,0.93806102378787,0.869777709949636,0.00921104476395785,0.0199314552111894
46,1000,0.93859331997328,0.870876925727946,0.0115510613695182,0.0246264749954656
45,1000,0.938121785740155,0.869974734706639,0.00910163534899962,0.0191932185077501
44,1000,0.939062744498368,0.87185467142407,0.00968541804263849,0.0206075834010168
43,1000,0.937325031857557,0.86827983021498,0.00949451862831782,0.0199695088733987
42,1000,0.937056780227121,0.867712509853231,0.0100622189210261,0.0211091955642511
41,1000,0.939059839625704,0.871880792797556,0.0117956682530959,0.0246937401701912
40,1000,0.939194240690216,0.872126878940853,0.0106643818501862,0.0224822256300915
39,1000,0.939263178029419,0.872270158194157,0.0116767641459235,0.0245392448642652
38,1000,0.939060351492812,0.87180882619059,0.0107457261661126,0.02272150906294
37,1000,0.937795991983968,0.869083891394116,0.0124917650953382,0.0263882290912902
36,1000,0.938791771494797,0.871207941678136,0.0105057039316485,0.0220325769505205
35,1000,0.938794608762371,0.871209609261998,0.00795951994339659,0.0169210561269049
34,1000,0.938726600724877,0.871069170702162,0.00899423863702924,0.0189687708496728
33,1000,0.938392867663037,0.870344662168312,0.0101101625305792,0.0213266154578633
32,1000,0.938989829726387,0.871553734841064,0.0105727184043805,0.0226315762187221
31,1000,0.938258865253935,0.870056558285588,0.00941525584220386,0.01977874167696
30,1000,0.938658368946729,0.870793515615878,0.0113618685652028,0.0242236077266854
29,1000,0.937725671959716,0.868938540344293,0.00924496680980745,0.0195886125677678
28,1000,0.938927389450923,0.87138359093088,0.00964547075801875,0.0202820867730861
27,1000,0.93819485986699,0.869825717144474,0.00801814998896936,0.0169267444411216
26,1000,0.938859530037317,0.871136334448364,0.0107989171156975,0.0229466906419602
25,1000,0.936925817900862,0.86708589429927,0.00914003987851339,0.0192278143696551
24,1000,0.936923415773984,0.867063570956594,0.0109390285853778,0.0229018347424366
23,1000,0.936794255177021,0.866819691102163,0.0106892177258815,0.0224623816232957
